#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
CI|ACP|32.9546|-116.30338|392.25|Agua Caliente County Park|2014-12-31T00:00:00|
CI|AGA|33.638378|-116.4011|809.0|Agave Hill|1999-11-16T00:00:00|2005-05-11T00:00:00
CI|AGO|34.14647|-118.76699|259.0|Agoura|1995-10-24T00:00:00|
CI|AVC|33.333118|-118.335424|0.0|Avalon Canyon|2015-09-17T12:00:00|
CI|BAC|33.6122|-117.0406|551.0|Bachelor Mountain|1993-12-14T00:00:00|
CI|BAR|32.68005|-116.67215|529.0|Barrett|1932-09-04T00:00:00|
CI|BBR|34.2623|-116.92075|2069.0|Big Bear Solar Observatory|2000-06-14T22:00:00|
CI|BBS|33.92139|-116.98058|785.0|Beaumont Base|2000-09-13T00:00:00|
CI|BC3|33.65515|-115.45366|1137.0|Big Chuckawalla Mtns|1991-05-08T00:00:00|
CI|BCC|33.575081|-117.261192|391.0|Bear Creek Country Club|2000-07-11T22:45:00|2005-08-08T19:00:00
CI|BEL|34.0006|-115.9982|1388.0|Belle Mountain Joshua Tree|2001-03-15T00:00:00|
CI|BFS|34.23883|-117.65853|1312.0|Mt. Baldy Ranger Station|2001-07-10T00:00:00|
CI|BHP|33.99053|-118.36171|81.0|Baldwin Hills|2009-05-20T19:45:00|
CI|BLA|34.069481|-116.388962|1243.0|Blackrock Canyon Campground|2000-04-11T00:00:00|2009-01-06T19:01:00
CI|BLA2|34.06931|-116.38993|1247.0|Black Rock Canyon Campground 2|2009-08-05T18:11:00|
CI|BLC|34.243561|-118.673119|607.0|Black Canyon|1994-02-01T00:00:00|
CI|BOM|33.36465|-115.72963|-54.0|Bombay Beach|2009-02-10T19:10:00|
CI|BOR|33.2682|-116.41716|252.0|Borrego Springs|2000-06-14T00:00:00|
CI|BRE|33.807758|-117.981163|24.0|Barre|2000-02-25T00:00:00|
CI|BTC|33.012131|-115.219872|39.0|Brunts Corner|1999-04-02T00:00:00|2012-08-31T20:07:00
CI|BTL|34.256981|-117.005211|2527.0|Butler Peak|1975-11-18T00:00:00|
CI|CAC|34.13678|-118.12199|230.0|Caltech Athenaeum Cellar|2003-03-07T00:00:00|
CI|CALB|34.14302|-118.62839|276.0|Calabasas|1994-01-10T00:00:00|1997-07-26T00:00:00
CI|CAP|33.388222|-117.194946|285.0|Capra Ranch|2000-04-13T00:00:00|2007-10-25T15:00:00
CI|CBC|34.14011|-118.1275|239.0|Caltech Broad Center|2003-01-28T00:00:00|
CI|CBK|32.915798|-116.252258|355.0|Canebrake|1984-02-22T00:00:00|
CI|CDM|34.368549|-119.341438|166.8|Casitas Dam|2019-06-17T00:00:00|
CI|CFD|34.399269|-119.515762|8.0|Carpinteria FD|2013-12-04T00:00:00|
CI|CFS|34.10539|-117.28287|312.0|Central Fire Station|2002-05-15T00:00:00|
CI|CFT|34.035469|-117.112411|682.0|Crafton Hills|1975-01-06T00:00:00|
CI|CHF|34.333408|-118.025848|1594.0|Chilao Flat Rngr Sta|1998-11-03T00:00:00|
CI|CHI|34.18156|-119.22244|3.0|Channel Island|2013-10-29T00:00:00|
CI|CHK|34.067135|-118.971181|258.0|Camp Hess Kramer|2017-07-10T00:00:00|
CI|CHL|33.910841|-117.683682|331.92|Chino Hills State Park|2021-04-16T00:00:00|
CI|CHN|33.998791|-117.680443|208.0|Chino|1999-10-12T00:00:00|
CI|CIA|33.401898|-118.415021|477.0|Catalina Island Airport|1998-09-10T00:00:00|
CI|CIU|33.44577|-118.483|36.50983|Catalina Island|1997-06-18T00:00:00|1998-10-01T00:00:00
CI|CJM|34.27117|-117.42448|1616.0|Cajon Mountain|2011-11-17T00:00:00|
CI|CLI|33.140289|-115.526581|-92.0|Calipatria|1976-11-04T00:00:00|2016-09-08T00:00:00
CI|CLI2|33.12112|-115.58016|-60.22|Calipatria 2|2015-09-24T00:00:00|
CI|CLO|34.22038|-119.00891|48.0|Camarillo|2013-10-29T00:00:00|
CI|CLT|34.092838|-117.316872|325.0|Calectric|1999-10-28T00:00:00|
CI|COA|32.86341|-115.12339|36.0|Coachella|1973-03-31T00:00:00|
CI|COK2|32.85053|-115.7284|-14.0|Cook Ranch 2|2013-02-13T00:00:00|
CI|CPO|32.64266|-116.48514|838.0|Campo Elementary School|2016-04-04T00:00:00|
CI|CPT2|33.34183|-117.32502|771.0|Camp Pendleton 2|2015-06-29T00:00:00|
CI|CRF|33.873521|-118.039376|18.1|Cerritos Fire Station aka LACoFD Station 35|2015-11-06T20:00:00|
CI|CRN|33.87574|-117.56106|204.773727|Corona|1995-08-15T00:00:00|
CI|CRR|32.88682|-115.96918|66.0|Carrizo|1950-04-09T00:00:00|
CI|CSH|33.6442|-116.5956|1637.0|Camp Scherman|2016-02-01T00:00:00|
CI|CSL|34.496513|-118.616208|353.9|Castaic Lake aka  LACoFD Station 149|2015-09-08T12:00:00|
CI|CTC|33.65516|-115.99006|538.0|Cactus City|2000-04-27T00:00:00|
CI|CTW|33.67728|-115.87214|504.0|Cottonwood Mtns|1977-08-31T00:00:00|
CI|CWP|33.557976|-117.557747|242.6|Ronald W. Caspers Wilderness Park|2018-02-14T20:00:00|
CI|CYP|32.906111|-116.627222|1013.69|Cuyamaca Peak|2017-07-14T17:00:00|
CI|CZN|33.91375|-116.78409|538.0|Cabazon|2013-10-29T00:00:00|
CI|DEC|34.253529|-118.333832|519.0|Green Verdugo Site|2000-08-10T20:30:00|
CI|DEV|33.93597|-116.57794|337.0|Devers|1997-11-11T00:00:00|
CI|DGR|33.65001|-117.00947|650.0|Domenigoni|1993-06-22T00:00:00|
CI|DJJ|34.10618|-118.45505|268.0|Donna Jones Jenkins|1998-11-09T00:00:00|
CI|DJJB|34.10618|-118.45505|268.0|Donna Jenkins Borehole|1999-07-20T00:00:00|
CI|DLA|33.84822|-118.09624|14.0|Del Amo|2000-05-04T23:59:00|
CI|DNR|33.56667|-116.63056|1274.0|Dunn Ranch|2001-10-22T00:00:00|
CI|DPP|32.99889|-116.94187|463.0|Dos Picos County Park|2000-10-24T00:00:00|
CI|DRE|32.80532|-115.44679|-13.0|Desert Research Extended Center|2002-07-17T00:00:00|
CI|DTC|34.424156|-118.661911|382.7|Del Valle - LACoFD Regional Training Center|2015-09-17T12:00:00|
CI|DVT|32.659149|-116.100609|881.0|Desert View Tower|2001-06-22T00:00:00|2010-01-14T00:05:00
CI|DZA|32.60657|-116.77477|554.7|Dulzura|2016-03-21T00:00:00|
CI|ELS2|33.64907|-117.42604|844.0|Elsinore 2|2013-05-21T00:00:00|
CI|EML|32.89083|-116.84566|161.0|El Monte County Park|2000-10-26T00:00:00|
CI|EMS|32.73921|-114.98521|11.0|East Mesa|1982-05-31T00:00:00|
CI|ERR|33.11675|-115.82267|-56.0|Elmore's Ranch|2000-01-13T00:00:00|2014-03-24T00:00:00
CI|ERR|33.11652|-115.82273|-56.0|Elmore's Ranch|2014-03-24T00:00:00|
CI|ESI|33.673882|-117.326431|388.0|Elsinore|2013-10-29T00:00:00|2019-05-01T16:00:00
CI|ESI2|33.67493|-117.32592|388.0|Elsinore|2019-06-03T00:00:00|
CI|FHO|34.09355|-116.93588|1614.0|Forest Home - SOSAF Station|2009-08-04T19:20:00|
CI|FMO|34.409286|-118.920887|137.0|Fillmore|2013-10-29T00:00:00|
CI|FMP|33.712639|-118.293808|89.0|Fort Macarthur Park|2000-08-30T00:00:00|
CI|FON|34.09957|-117.43876|388.751465|Fontana|1995-08-10T00:00:00|
CI|FRK|33.402088|-115.638351|60.0|Frink|1981-07-31T00:00:00|
CI|FUL|33.8717|-117.92251|51.0|Fullerton|1995-08-15T00:00:00|
CI|GCC|34.327579|-118.318878|726.6|Gold Creek Center|2017-06-08T12:00:00|
CI|GMA|34.291481|-116.382561|848.0|Goat Mountain Astronomical Research Station|2013-12-04T00:00:00|
CI|GOR|33.1537|-117.22921|138.0|Green Oak Ranch|1999-06-29T00:00:00|
CI|GOU|34.22119|-118.18834|587.0|Gould|2013-10-29T00:00:00|
CI|GR2|34.11816|-118.30024|342.0|Griffith Observatory|1998-03-30T00:00:00|
CI|GSA|34.136768|-118.128304|234.0|525 S Wilson Basement, Pasadena|1987-01-14T00:00:00|
CI|GVR|34.049721|-118.119949|141.0|Garvey|1987-10-04T00:00:00|
CI|HAY|33.70736|-115.63892|413.0|Hayfield|1956-06-20T00:00:00|2014-07-17T00:00:00
CI|HAY|33.70734|-115.63889|458.0|Hayfield|2014-07-17T00:00:00|
CI|HDB|34.400742|-116.287361|875.0|Hidalgo|1999-10-17T00:00:00|
CI|HLL|34.17643|-118.35967|193.0|North Hollywood|2000-03-23T00:00:00|
CI|HLN|34.12128|-117.21897|358.942352|Highland|1995-08-10T00:00:00|
CI|HMT2|33.708115|-117.001524|593.0|Hemet 2|2013-05-21T00:00:00|
CI|HOL|34.458248|-117.845047|1269.0|Holcomb Ridge|1997-05-15T00:00:00|2014-07-22T19:00:00
CI|HOL|34.458309|-117.84539|1267.0|Holcomb Ridge|2014-07-22T19:00:00|
CI|IBP|32.661121|-116.092857|879.0|Imperial Boulder Park|2010-04-06T20:00:00|2011-04-13T20:00:00
CI|IDO|33.79678|-116.22152|469.0|Indio Hill|2010-05-04T16:00:00|
CI|IDQ|33.76795|-116.23897|29.0|Indio Quarry|2010-09-28T20:09:00|
CI|IDY|33.74642|-116.71536|1632.0|Idyllwild|2013-10-30T00:00:00|
CI|IKP|32.65012|-116.10948|906.0|In-Ko-Pah|1972-03-29T00:00:00|
CI|IMP|32.90147|-115.56071|-27.0|Imperial|2013-10-29T00:00:00|
CI|IPT|34.19701|-117.28498|943.0|Inspiration point|2012-01-04T00:00:00|2021-03-15T00:00:00
CI|IR2|34.388069|-118.399719|562.0|Iron Canyon|1993-01-04T00:00:00|
CI|IRM|34.15738|-115.14513|567.0|Iron Mountain|2001-12-05T00:00:00|
CI|IVY|33.76025|-117.47678|330.0|Ivy Glen|2013-10-30T00:00:00|
CI|JCS|33.085899|-116.595901|1264.0|Julian Camp Stevens|1998-09-17T00:00:00|2007-09-16T00:00:00
CI|JEM|33.08098|-116.59755|1308.0|Julian Eagle Mine|2008-05-01T21:42:40|
CI|JNH2|34.448941|-117.95541|1305.0|Juniper Hills 2|2013-07-26T00:00:00|
CI|JPLS|34.2053|-118.17368|465.62|JPL Station at Mesa Rd.|2019-12-24T00:00:00|
CI|JTH|34.12644|-116.03785|609.38|Joshua Tree National Park Headquarters|2013-11-04T00:00:00|
CI|JVA|34.36622|-116.61266|904.0|Johnson Valley|2001-04-11T00:00:00|
CI|KIK|34.150372|-118.101562|237.2|Kinemetrics|1995-07-12T00:00:00|
CI|KML|33.59738|-117.87909|9.0|Kerckhoff Marine Laboratory|2003-07-10T00:00:00|
CI|KYV|33.92545|-116.1734|1498.2|Keys View|2013-11-14T00:00:00|
CI|LAF|33.86889|-118.33143|20.0|La Fresa|1999-10-15T00:00:00|
CI|LAT|34.04449|-118.77643|351.0|Latigo|2013-10-30T00:00:00|
CI|LBW1|33.798|-118.08837|-16.28|Long Beach 1|2001-11-08T00:00:00|
CI|LBW2|33.798|-118.088371|-16.3|Long Beach 2|2001-11-08T00:00:00|
CI|LCG|34.00033|-118.37794|108.0|La Cienega|1999-10-27T00:00:00|
CI|LFP|34.30529|-118.48805|368.0|Los Angeles|2000-01-24T00:00:00|
CI|LGB|33.9753|-118.14918|42.0|Laguna Bell|2000-04-06T00:00:00|
CI|LGU|34.108189|-119.065872|416.0|Laguna Peak|1999-06-13T00:00:00|2015-01-22T20:00:00
CI|LKH|33.23598|-116.75876|847.0|Lake Henshaw|2013-10-29T00:00:00|
CI|LLS|33.684471|-117.943039|8.0|Ellis|2000-02-01T00:00:00|
CI|LMH|33.74418|-117.39135|496.0|Lake Mathews Hills|2013-05-21T00:00:00|
CI|LMS|33.81744|-117.445|443.0|Lake Mathews Shore|2013-05-21T00:00:00|
CI|LPC|34.31478|-117.54642|1351.0|Lone Pine Canyon|2009-05-28T19:00:00|2021-09-23T00:00:00
CI|LTP|33.8811|-118.17568|20.0|Lighthipe|2000-07-25T00:00:00|
CI|LUC2|34.456379|-116.964233|886.0|Lucerne Valley 2|2012-06-26T00:00:00|
CI|LUG|34.365601|-117.366829|1140.0|Lugo|1998-01-28T00:00:00|
CI|LUS|33.01375|-117.16305|120.73|Lusardi Creek County Preserve|2017-06-20T00:00:00|
CI|LVY|34.17408|-119.15636|11.83|Levy|2013-10-30T00:00:00|
CI|LYP|32.70333|-116.7548|886.44|Lyon's Peak|2016-05-23T00:00:00|
CI|MCT|34.22645|-116.04073|661.0|MCC 29palms|2001-01-24T00:00:00|
CI|MES|34.263111|-119.095882|69.2|Mesa Elementary School|2016-10-20T00:00:00|
CI|MGE|33.81841|-116.36874|68.0|Mirage|1999-10-16T00:00:00|
CI|MIK|34.13688|-118.12601|275.0|Caltech Hall|2001-04-20T00:00:00|
CI|MIKB|34.13688|-118.12601|231.0|Caltech Hall Basement|2008-08-25T21:30:00|
CI|MIS|33.7403|-118.33517|299.0|Mira Catalina School|1999-07-29T00:00:00|
CI|MLS|34.004601|-117.561623|230.0|Mira Loma|1998-03-05T00:00:00|
CI|MMC|33.57304|-117.762581|55.1|Pacific Marine Mammal Center|2015-10-29T12:00:00|
CI|MNO|33.94738|-117.17278|564.0|Moreno|2013-10-30T00:00:00|
CI|MOP|34.28096|-118.90469|141.0|Moorpark|1999-09-16T00:00:00|
CI|MOR|33.50388|-117.13993|331.0|Moraga|2013-10-29T00:00:00|
CI|MSC|34.03852|-116.64795|938.0|Mission Creek|2009-04-22T20:30:00|
CI|MSJ|33.80801|-116.96789|466.0|Mt. San Jacinto Campus|1999-07-27T00:00:00|
CI|MTA|33.42654|-117.37927|785.0|Margarita Mountains|2015-08-25T00:00:00|
CI|MTG|33.19915|-116.64727|1092.0|Mataguay Scout Camp|2013-10-29T00:00:00|
CI|MTL|34.268799|-118.237396|1540.5|Mount Lukens|1999-04-20T00:00:00|1999-06-01T00:00:00
CI|MUR|33.59999|-117.19543|562.0|Murrieta|2005-07-25T00:00:00|
CI|MWC|34.22362|-118.05832|1725.0|Mount Wilson Obsv|1928-04-23T00:00:00|
CI|NGBR|34.187904|-118.115166|1285.0|Altadena 1, Altadena, CA, USA|2010-01-01T00:00:00|2012-04-02T21:00:00
CI|NOT|34.22869|-118.55829|247.524582|Northridge|1995-10-05T00:00:00|
CI|NQ088|34.136772|-118.128334|239.0|Test site USGS Pasadena Wilson Ave|2009-12-01T00:00:00|2015-07-12T20:00:00
CI|NSS|33.556099|-115.946503|-16.0|North Shore Salton Sea|2000-11-20T00:00:00|2004-03-10T18:52:00
CI|NSS2|33.55553|-115.94586|17.0|North Shore Salton Sea 2|2004-03-17T11:50:00|
CI|NWH|33.733139|-117.751083|95.8|Irvine USD, Northwood High|2015-10-28T19:00:00|
CI|OAK|34.363628|-118.784393|832.0|Oakridge, Piru, CA, USA|1994-01-20T00:00:00|2006-12-11T20:00:00
